,mid_int,mid_slope,ZX,ZY,c
horz,542.3370607028755,0.4025559105431309,0.9276568521150659,-0.373433748774755,-503.10269051696696
vert,3156.916666666666,-2.484126984126984,0.37343374877475505,0.9276568521150658,-1178.8992254028367
