,cornerX,cornerY,border_int,border_slope,midpointX,midpointY,centersX,centersY,WX,WY,b
tmost,1786.7488515086302,1276.9157977952477,4958.769841269839,-2.4841269841269833,1158.220822170495,1529.9334709473405,1346.8481334270282,1091.327109227458,0.37343374877475477,0.9276568521150659,-1851.7720111365936
rmost,529.69279283236,1782.9511440994333,-188.04472843450486,0.40255591054313117,278.41938600729077,1158.7560938117615,718.320104088893,1344.344782379551,-0.9276568521150659,0.37343374877475505,-174.44098083638517
bmost,27.14597918222148,534.5610435240897,1355.0634920634918,-2.4841269841269846,655.6740085203567,281.5433703719969,467.0466972638237,720.1497320918792,-0.37343374877475505,-0.9276568521150658,506.0264396690801
lmost,1284.2020378584918,28.525697219904146,1272.7188498402554,0.4025559105431312,1535.475444683561,652.7207475075759,1095.574726601959,467.13205893978636,0.9276568521150658,-0.3734337487747551,-1180.6463618703185
